r_star,W,decay_type,alpha_week0,alpha_week1,T_eval,T_eval_policy,T_policy,S0_Teval,S0_Tpolicy,S_shock_Teval,S_shock_Tpolicy,S_mech_Teval,S_mech_Tpolicy,deltaS_shock_Teval,deltaS_shock_Tpolicy,deltaS_mech_Teval,deltaS_mech_Tpolicy,support_n_events_at_Tpolicy,support_n_events_cum_leq_Tpolicy,support_n_at_risk_Tpolicy,support_n_events_at_Teval,support_n_events_cum_leq_Teval,support_n_at_risk_Teval
3,1,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,1,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,1,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,1,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,1,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,1,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,1,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
3,2,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8692053738257417,0.8583110654164269,0.000683387570207028,0.0012893054073591648,0.0015005593247016114,0.0028778523533118383,167,5452,21255,0,7386,1575
3,2,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8691991167617193,0.8583051259592259,0.000683387570207028,0.0012893054073591648,0.0014943022606792589,0.002871912896110884,167,5452,21255,0,7386,1575
3,2,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8692137343883175,0.8583192864068295,0.000683387570207028,0.0012893054073591648,0.0015089198872774157,0.0028860733437144903,167,5452,21255,0,7386,1575
3,2,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8692018416548236,0.8583076907004512,0.000683387570207028,0.0012893054073591648,0.0014970271537835256,0.0028744776373361702,167,5452,21255,0,7386,1575
3,2,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8692214877949485,0.8583272158109596,0.000683387570207028,0.0012893054073591648,0.001516673293908366,0.0028940027478445707,167,5452,21255,0,7386,1575
3,2,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8692045013286435,0.8583102264830369,0.000683387570207028,0.0012893054073591648,0.0014996868276033748,0.002877013419921859,167,5452,21255,0,7386,1575
3,2,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.8692354449031293,0.8583422744622002,0.000683387570207028,0.0012893054073591648,0.001530630402089228,0.0029090613990852,167,5452,21255,0,7386,1575
3,2,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8683882020712471,0.8567225184704742,0.869209634833352,0.8583152136332721,0.000683387570207028,0.0012893054073591648,0.001504820332311918,0.002882000570157084,167,5452,21255,0,7386,1575
3,3,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8695899378539356,0.859246090058979,0.0009086225348220456,0.0017679310134998127,0.0018851233528954792,0.0038128769958639674,167,5452,21255,0,7386,1575
3,3,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8695753513029604,0.8592311198598301,0.0009086225348220456,0.0017679310134998127,0.0018705368019202862,0.0037979067967151003,167,5452,21255,0,7386,1575
3,3,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8696069854145451,0.8592638726766775,0.0009086225348220456,0.0017679310134998127,0.0019021709135049747,0.003830659613562437,167,5452,21255,0,7386,1575
3,3,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8686134370358621,0.8572011440766149,0.8695789195379799,0.859234594248693,0.0009086225348220456,0.0017679310134998127,0.0018741050369398549,0.0038013811855779345,167,5452,21255,0,7386,1575
