horizon,delta_gap
T_policy,-0.0004489036585988426
T_policy,-0.00039793066738114113
T_policy,-0.0004127494682665267
T_policy,-0.0005737588339235211
T_policy,-0.0005140618391835661
T_policy,-0.0003982711380645654
T_policy,-0.0005677553154626036
T_policy,-0.0004654796296845731
T_policy,-0.0006035476384530503
T_policy,-0.000614465270934228
T_policy,-0.0005536636474209322
T_policy,-0.00025966191817461404
T_policy,-0.0005168602139855594
T_policy,-0.000685209326613756
T_policy,-0.000640900849752768
T_policy,-0.00040436351577144425
T_policy,-0.0005629678652135928
T_policy,-0.000665150042307272
T_policy,-0.0005734469184174307
T_policy,-0.0005068349437987729
T_policy,-0.0005391198511051076
T_policy,-0.00047396791395748483
T_policy,-0.0006325330249159489
T_policy,-0.0006260304021354912
T_policy,-0.0004532009209098353
T_policy,-0.0005316439280479424
T_policy,-0.000555824360242374
T_policy,-0.0003126198089163923
T_policy,-0.0005569212912046595
T_policy,-0.000527956902635407
T_policy,-0.0005178179519420567
T_policy,-0.0005996011516083977
T_policy,-0.0006611482212427466
T_policy,-0.00033785552859422197
T_policy,-0.00046946770830913476
T_policy,-0.00047967820407657236
T_policy,-0.000431437742590024
T_policy,-0.0005165224889874809
T_policy,-0.00038646995786573157
T_policy,-0.0005053929372367261
T_policy,-0.0005702395536459903
T_policy,-0.0005723726904988125
T_policy,-0.0005869455386847688
T_policy,-0.0005083099021967463
T_policy,-0.0005500281950232555
T_policy,-0.000532168745860484
T_policy,-0.000489702473834841
T_policy,-0.0006228339924367887
T_policy,-0.000530637684227786
T_policy,-0.00036022815297420685
T_policy,-0.0005548050991265319
T_policy,-0.0005335449750880628
T_policy,-0.0004305743235112347
T_policy,-0.00047418028116374966
T_policy,-0.0005416822482853245
T_policy,-0.00041899874255313385
T_policy,-0.0005030341049397924
T_policy,-0.00035027070265769567
T_policy,-0.0005075135446125367
T_policy,-0.00047574622430823776
T_policy,-0.00034243965384694874
T_policy,-0.0004929203294408158
T_policy,-0.0005256005335233516
T_policy,-0.0005291397523216057
T_policy,-0.00045170817264228447
T_policy,-0.00038766702997961033
T_policy,-0.00041331730029026126
T_policy,-0.00046090359417372273
T_policy,-0.0005402068341811006
T_policy,-0.000566783948060201
T_policy,-0.0004801290342840714
T_policy,-0.0004113385671988823
T_policy,-0.0003758565344021969
T_policy,-0.0005248914785161984
T_policy,-0.0005759930903305177
T_policy,-0.0006004743978237359
T_policy,-0.0004204171597546047
T_policy,-0.00042205128705441464
T_policy,-0.000495286959967034
T_policy,-0.0006402606768128871
T_policy,-0.0005492267839771747
T_policy,-0.0005134567746064578
T_policy,-0.0003593555160048556
T_policy,-0.0004128274078699645
T_policy,-0.0005137910977616178
T_policy,-0.0006311125307605359
T_policy,-0.00027760939038434795
T_policy,-0.0004973741048082125
T_policy,-0.0005568280999853625
T_policy,-0.000553037177086324
T_policy,-0.0005502726079031905
T_policy,-0.0005173953555930311
T_policy,-0.0004187712512093711
T_policy,-0.0006076215465207202
T_policy,-0.0006171106508569002
T_policy,-0.0005801893499496336
T_policy,-0.0005775039797496495
T_policy,-0.000494389497658343
T_policy,-0.0005560526374873698
T_policy,-0.0005716947784950577
T_policy,-0.0006373735463246488
T_policy,-0.00044396156410531074
T_policy,-0.0005030651383841622
T_policy,-0.0003914476916014875
T_policy,-0.0004749101182447424
T_policy,-0.0006266299062773761
T_policy,-0.0004999295299317197
T_policy,-0.0006305106993823584
T_policy,-0.0004811492628765679
T_policy,-0.0005691005507890701
T_policy,-0.0006335701204703836
T_policy,-0.0005909788788819315
T_policy,-0.0005135235569216912
T_policy,-0.000611983322762355
T_policy,-0.0005093101712085879
T_policy,-0.0004398434931927042
T_policy,-0.0004896311797093489
T_policy,-0.0004274483904768145
T_policy,-0.00031574671097700513
T_policy,-0.0004640210695462388
T_policy,-0.0004455016225050068
T_policy,-0.0005959258780610099
T_policy,-0.000507678680984891
T_policy,-0.0006582037327799162
T_policy,-0.0004071333122451781
T_policy,-0.0002595943941906542
T_policy,-0.0006178802723233456
T_policy,-0.0003273600660502751
T_policy,-0.0005035004009835697
T_policy,-0.0006353476906123534
T_policy,-0.000545249237049461
T_policy,-0.00048551852506539817
T_policy,-0.000491805691100855
T_policy,-0.0004256227867964757
T_policy,-0.00044471369702792085
T_policy,-0.0005849176876749906
T_policy,-0.0005614831558791167
T_policy,-0.0006739505077372199
T_policy,-0.00043774734408941196
T_policy,-0.00045696627946290036
T_policy,-0.0004900449925998585
T_policy,-0.0004884890982699286
T_policy,-0.0005832905759096674
T_policy,-0.0003367435657055662
T_policy,-0.00036589444035906027
T_policy,-0.0004115244087954384
T_policy,-0.0006178191247387943
T_policy,-0.000425121154889907
T_policy,-0.0005675876889227327
T_policy,-0.0005829379277609847
T_policy,-0.0005898944998311562
T_policy,-0.0006593321767203175
T_policy,-0.0006060726882128886
T_policy,-0.0005314691246558478
T_policy,-0.0005038421648019265
T_policy,-0.0005689877811816402
T_policy,-0.0005997182606836127
T_policy,-0.0005367521951302745
T_policy,-0.0004895464445811015
T_policy,-0.00047590230694949387
T_policy,-0.0004794968809962441
T_policy,-0.0003844737121737607
T_policy,-0.0005178601288066131
T_policy,-0.0005411132168481325
T_policy,-0.0005301278597193981
T_policy,-0.0004861858312813494
T_policy,-0.00044009751734064295
T_policy,-0.0004595346466037542
T_policy,-0.0007005479330209896
T_policy,-0.00042836924269906707
T_policy,-0.0006304832663265314
T_policy,-0.0005880356362081285
T_policy,-0.0003596593849730656
T_policy,-0.0005848880612550067
T_policy,-0.0005996380709037963
